position,title,address,latitude,longitude,rating,ratingCount,category,phoneNumber,website,cid,query,brand,branch,query_result_number,brand_match,bookingLinks
6,Property People Estate & Letting Agents Belfast,"223 Antrim Rd, Belfast BT15 2GY",54.6153896,-5.937055399999999,4.1,151.0,Estate Agent,028 9074 7300,https://www.propertypeopleni.com/location/north-and-west/?utm_source=localmaps&utm_medium=gbp&utm_campaign=North&WestBelfast,2676954821620312697,estate agents in belfast,Property People ,Belfast,56,True,
1,Property People Estate & Letting Agents South Belfast,"122 Lisburn Rd, Belfast BT9 6AH",54.5835593,-5.9438169,4.1,91.0,Estate Agent,028 9074 7300,https://www.propertypeopleni.com/location/south-and-east/?utm_source=localmaps&utm_medium=gbp&utm_campaign=southbelfast,17628867394624003879,estate agents in belfast,Property People ,Belfast,61,True,
3,Property People Estate & Letting Agents West Belfast,"121 Andersonstown Rd, Belfast BT11 9BT",54.5741812,-5.9866088,3.8,10.0,Estate Agent,028 9074 7300,https://www.propertypeopleni.com/location/west-belfast/?utm_source=localmaps&utm_medium=gbp&utm_campaign=westbelfast,15999444184383233165,estate agents in belfast,Property People ,Belfast,93,True,
